id	rate
01001	19.1
01003	17.7
01005	25.1
01007	25.3
01009	19.4
01011	8.2
01013	19.2
01015	13.9
01017	14.2
01019	15.8
01021	13.5
01023	17.4
01025	23.5
01027	18.9
01029	18.7
01031	19.9
01033	20.8
01035	22.1
01037	19.6
01039	21.5
01041	23
01043	20.6
01045	15.8
01047	17.7
01049	24.1
01051	20.7
01053	30.9
01055	19.8
01057	16.6
01059	23.3
01061	24.7
01063	22.3
01065	18.7
01067	16.4
01069	18
01071	23.2
01073	13.2
01075	26.7
01077	12.7
01079	16.1
01081	7.3
01083	24.2
01085	33.9
01087	10.5
01089	12.8
01091	18.2
01093	29.2
01095	20.4
01097	19.7
01099	29.8
01101	19.9
01103	20
01105	11.1
01107	18.8
01109	3.7
01111	27.4
01113	26.7
01115	18.7
01117	13.1
01119	10.6
01121	21.1
01123	21.7
01125	8.7
01127	16.9
01129	25.5
01131	23.5
01133	19.9
02013	14.5
02016	11.3
02020	13.7
02050	41.3
02060	24.7
02068	11.7
02070	21.6
02090	10.5
02100	0.5
02105	24.4
02110	15.7
02122	20.9
02130	19.7
02150	11.1
02158	35
02164	23.4
02170	21.5
02180	24.1
02185	16.1
02188	28.2
02195	37.8
02198	14.3
02220	24
02230	10.3
02240	19.4
02261	6.3
02275	11.6
02282	5.8
02290	26.6
04001	25.8
04003	17.9
04005	9.7
04007	25
04009	20.8
04011	26.6
04012	26.3
04013	16.7
04015	25.7
04017	30.7
04019	15.3
04021	28.3
04023	25.2
04025	20.9
04027	20.3
05001	20.3
05003	16
05005	17.6
05007	14.7
05009	10.6
05011	25.1
05013	9.4
05015	23
05017	16.7
05019	4.9
05021	18.4
05023	15.9
05025	21.1
05027	10.9
05029	15.6
05031	7.8
05033	15.7
05035	17
05037	16.4
05039	22.1
05041	21.4
05043	4.8
05045	8.7
05047	20.6
05049	19.8
05051	17.1
05053	12.1
05055	20.5
05057	26.3
05059	13.9
05061	22.5
05063	11.8
05065	21.5
05067	19.2
05069	13
05071	17.2
05073	15.4
05075	14.1
05077	13.9
05079	29.3
05081	9.5
05083	13.8
05085	12.4
05087	13.9
05089	15.3
05091	18.1
05093	19.8
05095	26.4
05097	15.2
05099	18.7
05101	2.1
05103	14.6
05105	14.1
05107	27.8
05109	18.5
05111	21.9
05113	19.2
05115	10.4
05117	26.5
05119	13
05121	13.3
05123	20.7
05125	16.4
05127	10.5
05129	25.1
05131	15.8
05133	29.3
05135	25.6
05137	13.1
05139	18.9
05141	18.8
05143	9.6
05145	11.8
05147	41.5
05149	15.7
06001	10.9
06003	11.2
06005	21.5
06007	8.5
06009	15
06011	14.2
06013	12.7
06015	21.9
06017	11.3
06019	17.4
06021	23.6
06023	9.3
06025	23.6
06027	9.7
06029	19.7
06031	20.3
06033	19.5
06035	32
06037	15.3
06039	27.9
06041	14.3
06043	25.7
06045	17
06047	13.8
06049	36.7
06051	7.7
06053	20.9
06055	15.2
06057	13.4
06059	11.5
06061	10.7
06063	10
06065	15.7
06067	13.9
06069	10.5
06071	16
06073	10.9
06075	5.9
06077	18.7
06079	6.3
06081	11.7
06083	11.1
06085	10.6
06087	8.5
06089	12
06091	40.7
06093	13.9
06095	14.7
06097	13.2
06099	12.2
06101	18.9
06103	14.8
06105	23.7
06107	21.1
06109	16.7
06111	13.7
06113	6
06115	15.2
08001	22
08003	8.8
08005	16.5
08007	20.1
08009	28.9
08011	31.3
08013	5.6
08014	11.5
08015	19.1
08017	22.4
08019	7
08021	21.2
08023	22.8
08025	17.3
08027	36.8
08029	20
08031	15.2
08033	12.3
08035	14.9
08037	20.6
08039	18.2
08041	11.5
08043	33
08045	29.1
08047	23.8
08049	25.9
08051	10.2
08053	0
08055	23.5
08057	30.2
08059	15.5
08061	19.4
08063	25.2
08065	17.5
08067	9.2
08069	7
08071	12.6
08073	19.5
08075	11.2
08077	16.5
08079	0
08081	21.5
08083	36
08085	29
08087	27
08089	20.3
08091	17.3
08093	16.9
08095	22.7
08097	24.1
08099	15.6
08101	20.1
08103	15.8
08105	26.1
08107	10.7
08109	35.2
08111	6
08113	7.8
08115	27.1
08117	12.8
08119	17
08121	22.7
08123	14.4
08125	20.8
09001	14.8
09003	14
09005	11.7
09007	9.2
09009	12.6
09011	8.7
09013	5.1
09015	9.1
10001	15.5
10003	14
10005	17.8
11001	10.5
12001	5.5
12003	17.9
12005	19.6
12007	27.5
12009	15.3
12011	17.1
12013	16.9
12015	23.5
12017	24.1
12019	16
12021	19.2
12023	24.3
12027	40.4
12029	39.8
12031	17.1
12033	12.9
12035	21.4
12037	37.6
12039	24.7
12041	39.5
12043	38.6
12045	29.4
12047	36.9
12049	34.8
12051	30.6
12053	14.5
12055	33
12057	16
12059	28
12061	22.4
12063	23.2
12065	29.2
12067	37.1
12069	21.4
12071	20.7
12073	6.7
12075	22
12077	27.1
12079	33.2
12081	20.2
12083	23.4
12085	18.6
12086	15.4
12087	15
12089	17.5
12091	13.3
12093	36.9
12095	11.9
12097	19.4
12099	17.7
12101	16.3
12103	16.2
12105	21.9
12107	22.8
12109	12.7
12111	21.8
12113	16.2
12115	14.6
12117	11.2
12119	34.6
12121	29
12123	33.1
12125	27
12127	15.7
12129	27.3
12131	22
12133	26.3
13001	26.5
13003	42
13005	42.3
13007	12.9
13009	9.1
13011	15.2
13013	25
13015	26.3
13017	14.1
13019	26.1
13021	17.6
13023	5.4
13025	22.8
13027	28.4
13029	19.9
13031	4.2
13033	32
13035	31.8
13037	36.1
13039	12.5
13043	37.6
13045	14
13047	13.9
13049	30.9
13051	14
13053	8.4
13055	34.7
13057	20.4
13059	4.8
13061	43.3
13063	22.3
13065	27.8
13067	16
13069	20.1
13071	36.5
13073	13.9
13075	27.4
13077	15.2
13079	25.8
13081	27.6
13083	10.9
13085	22.5
13087	24.4
13089	18
13091	23.3
13093	27.3
13095	23.8
13097	19.1
13099	24.5
13101	26.4
13103	16.3
13105	20
13107	19.7
13109	15.2
13111	25.1
13113	19.9
13115	16.1
13117	19.3
13119	19.2
13121	13.3
13123	25.4
13125	14.5
13127	20.5
13129	27.2
13131	20.8
13133	19.9
13135	17.2
13137	20
13139	20.6
13141	46.6
13143	19.9
13145	14.2
13147	27.7
13149	28.4
13151	19.3
13153	13.5
13155	22.8
13157	17.6
13159	16.2
13161	46.4
13163	31.6
13165	31.3
13167	30
13169	18.9
13171	19.8
13173	25.9
13175	24.3
13177	22.6
13179	10.7
13181	15.2
13183	15.9
13185	13.9
13187	9.3
13189	35.2
13191	3.3
13193	43.7
13195	18.6
13197	29.4
13199	35.9
13201	23.7
13205	34.2
13207	25.7
13209	18.4
13211	10
13213	24.8
13215	12.5
13217	22.2
13219	12
13221	19.5
13223	14.2
13225	8.7
13227	16.9
13229	21.4
13231	12.8
13233	36
13235	21.9
13237	17.4
13239	11.8
13241	25.9
13243	36.4
13245	20
13247	18.8
13249	15.6
13251	30.1
13253	30.4
13255	25.8
13257	25
13259	55.1
13261	17.8
13263	26.7
13265	16.8
13267	46.4
13269	40.8
13271	33.2
13273	30.7
13275	29.3
13277	17.5
13279	25.8
13281	7.1
13283	28.4
13285	19
13287	30.6
13289	28.8
13291	27.8
13293	24.3
13295	20.3
13297	14.7
13299	37.6
13301	19.5
13303	21.9
13305	26.2
13307	27.5
13309	30.5
13311	10.2
13313	20.5
13315	31.6
13317	35.1
13319	13.1
13321	23.4
15001	12.7
15003	7
15005	0
15007	7.1
15009	12
16001	10.4
16003	36.7
16005	7.7
16007	23.8
16009	15.8
16011	17.2
16013	17.5
16015	19.4
16017	23.8
16019	16.7
16021	38.9
16023	46.3
16025	33.9
16027	19
16029	9.8
16031	18.5
16033	4.2
16035	29
16037	34.5
16039	10.5
16041	24
16043	19.2
16045	18.5
16047	23
16049	25.8
16051	18.9
16053	26.6
16055	16
16057	2.9
16059	12.5
16061	41.2
16063	16
16065	4.3
16067	15.9
16069	8.9
16071	17.1
16073	26.8
16075	27.1
16077	26.1
16079	23.1
16081	23.6
16083	16.3
16085	19.5
16087	12.8
17001	14.9
17003	14.2
17005	11.2
17007	21.3
17009	28.9
17011	18
17013	17.6
17015	15.2
17017	16
17019	4.3
17021	17.2
17023	11.9
17025	17.7
17027	17.4
17029	6.4
17031	14.9
17033	18.1
17035	14
17037	5.6
17039	16.7
17041	29.6
17043	10.1
17045	17.6
17047	12
17049	14.3
17051	25.3
17053	27.2
17055	21.9
17057	17.4
17059	19.9
17061	20.3
17063	15.2
17065	20.9
17067	15.4
17069	14.2
17071	16.5
17073	15.5
17075	17.1
17077	4.9
17079	5.7
17081	16.3
17083	9.4
17085	21.1
17087	24.3
17089	18.4
17091	10.7
17093	13.4
17095	11.7
17097	12.8
17099	14.7
17101	49
17103	16.5
17105	24.5
17107	16.7
17109	4.6
17111	14.4
17113	5.8
17115	11.9
17117	14.9
17119	9.9
17121	19
17123	15.5
17125	16.3
17127	18.6
17129	16.5
17131	14.3
17133	11
17135	25.9
17137	10.3
17139	18
17141	12.3
17143	12.5
17145	22.3
17147	17.4
17149	18.6
17151	31.7
17153	18.8
17155	7.2
17157	17.4
17159	17.6
17161	12.6
17163	15.3
17165	27.9
17167	15
17169	5.9
17171	21.3
17173	7.3
17175	13.7
17177	18.9
17179	12.7
17181	14.6
17183	18.9
17185	10.2
17187	4.3
17189	18.5
17191	14.5
17193	20.3
17195	16.9
17197	13
17199	11.7
17201	18.6
17203	14.7
18001	33.9
18003	17.3
18005	19
18007	17.6
18009	18.8
18011	18.3
18013	25
18015	21.1
18017	29.7
18019	19.8
18021	22
18023	20.2
18025	25.6
18027	38.4
18029	23.1
18031	23.2
18033	17.7
18035	9.4
18037	14.8
18039	27.3
18041	31
18043	14.7
18045	23.2
18047	24.7
18049	21.3
18051	17
18053	11.3
18055	15.3
18057	18.4
18059	18.3
18061	17.3
18063	19.5
18065	24
18067	25.4
18069	12
18071	20
18073	16.4
18075	17.1
18077	18.9
18079	17.1
18081	18.8
18083	11.2
18085	21.1
18087	59.7
18089	19.8
18091	22.6
18093	22.9
18095	21.3
18097	20.4
18099	28
