id,value
flare,

flare.15-18,
flare.15-18.Indiana,8541
flare.15-18.Minnesota,9404

flare.5-10,
flare.5-10.North Dakota,9988
flare.5-10.New Jersey,15689
flare.5-10.South Dakota,7325
flare.5-10.Massachusetts,12910
flare.5-10.Louisiana,9354
flare.5-10.North Carolina,6960
flare.5-10.Alask,15705
flare.5-10.South Carolina,7926
flare.5-10.Kansas,8953
flare.5-10.Oregon,8030
flare.5-10.New Mexico,7611
flare.5-10.Florida,7221

flare.0-5,
flare.0-5.Wisconsin,9993
flare.0-5.Nebraska,9755
flare.0-5.Oklahoma,6421
flare.0-5.California,7496
flare.0-5.Arkansas,7860
flare.0-5.Georgia,8133
flare.0-5.Mississippi,6545
flare.0-5.New Hampshire,12611
flare.0-5.Washington,8557
flare.0-5.Iowa,8619
flare.0-5.Utah,5446

flare.-5-0,
flare.-5-0.Colorado,7721
flare.-5-0.Delaware,12130
flare.-5-0.Montana,9266
flare.-5-0.Tennessee,7037
flare.-5-0.Ohio,9232
flare.-5-0.Texa,6990
flare.-5-0.Wyoming,14518
flare.-5-0.Michigan,8974
flare.-5-0.Idaho,5685
flare.-5-0.Alabama,7506
flare.-5-0.Maryland,12634

flare.-33,
flare.-33.Pennsylvania,11021

flare.-10-18,
flare.-10-18.Rhode Island,13164
flare.-10-18.New York,18097
flare.-10-18.Arizona,6352
flare.-10-18.Nevada,7290
flare.-10-18.Virginia,9604
flare.-10-18.Illinois,10600
flare.-10-18.Missouri,8038
flare.-10-18.Vermont,13342

flare.-5-10,
flare.-5-10.Kentucky,7949
flare.-5-10.Maine,10890
flare.-5-10.West Virginia,9827
flare.-5-10.Connecticut,15190



