id,value
flare.1,
flare.1.ALASKA,7
flare.1.ARIZONA,19
flare.1.CALIFORNIA,92
flare.1.COLORADO,19
flare.1.IDAHO,6
flare.1.MT,6
flare.1.N MEXICO,13
flare.1.NEVADA,10
flare.1.OREGON,12
flare.1.SD,3
flare.1.UTAH,7
flare.1.WA,18
flare.1.WY,3
flare.2,
flare.2. W VIRGINIA,15
flare.2.ALABAMA,11
flare.2.AR,7
flare.2.DC,10
flare.2.FLORIDA,71
flare.2.GEORGIA,26
flare.2.KENTUCKY,10
flare.2.LA,2
flare.2.MARYLAND,11
flare.2.MS,8
flare.2.NC,24
flare.2.OK,10
flare.2.SC,19
flare.2.TEXAS,48
flare.2.TN,12
flare.2.VIRGINIA,18
flare.3,
flare.3.CT,14
flare.3.DE,2
flare.3.MA,12
flare.3.MAINE,6
flare.3.N YORK,25
flare.3.NH,7
flare.3.NJ,12
flare.3.RI,6
flare.3.VERMONT,10
flare.3.WISCONSIN,11
flare.3.PENNSYLVANIA,58
flare.4,
flare.4.ILLINOIS,10
flare.4.INDIANA,7
flare.4.IOWA,6
flare.4.KANSAS,6
flare.4.MICHIGAN,28
flare.4.MINNESOTA,19
flare.4.MISSOURI,32
flare.4.ND,1
flare.4.NE,7
flare.4.OHIO,35
